lon_bin,lat_bin,date_year,day_of_year_sin,day_of_year_cos,week_of_year_sin,week_of_year_cos,tavg,tmin,tmax,prcp,snow,Unemployment_Rate(%),Unemployment_Rank,CPI(Annual),Nearest Station,Distance (km)
-97.975,33.975,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,155.7689387081
-97.975,34.025,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,15.1,25.3,0.0,,,,,North Central Division,159.7124812415
-97.975,34.075,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,15.1,25.3,0.0,,,,,North Central Division,163.7498285362
-97.975,34.125,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,15.1,25.3,0.0,,,,,North Central Division,167.8742127608
-97.975,34.175,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,15.1,25.3,0.0,,,,,North Central Division,172.0793757473
-97.975,34.225,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,15.1,25.3,0.0,,,,,North Central Division,176.3595392601
-97.975,34.275,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,180.7093741381
-97.975,34.325,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,185.1239692679
-97.975,34.375,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,189.5988010941
-97.975,34.425,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,194.1297041612
-97.975,34.475,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,198.7128430212
-97.975,34.525,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,203.3446857132
-97.975,34.575,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,208.021978926
-97.975,34.625,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,212.7417248846
-97.975,34.675,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,217.5011599497
-97.975,34.725,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,222.2977348826
-97.975,34.775,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.7,15.1,25.8,0.2,,,,,North Central Division,227.1290967053
-97.975,34.825,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.7,15.1,25.8,0.2,,,,,North Central Division,231.993072069
-97.975,34.875,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.7,15.1,25.8,0.2,,,,,North Central Division,236.8876520364
-97.975,34.925,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.7,15.1,25.8,0.2,,,,,North Central Division,241.8109781791
-97.975,34.975,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.7,15.1,25.8,0.2,,,,,North Central Division,246.7613298914
-97.925,31.025,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.5,17.4,20.3,14.9,,,,,South Central Division,211.3801682923
-97.925,31.075,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.5,17.4,20.3,14.9,,,,,South Central Division,206.5935115243
